Training_ID,Employee_ID,Employee_Name,Department,Area,Training_Course,Training_Type,Course_Category,Scheduled_Date,Completed_Date,Status,Trainer,Score_Percent,Pass_Fail,Expiration_Date,Notes
TRN-2025-0901,E1042,Rebeca Avila,Maintenance,Line 1,LOTO Authorized Person,Annual Refresher,Safety,2025-09-02,2025-09-02,Completed,C. Aguilar,90,Pass,2026-09-02,
TRN-2025-0902,E1087,Jorge Espinoza,Maintenance,Line 2,LOTO Authorized Person,Annual Refresher,Safety,2025-09-04,2025-09-04,Completed,C. Aguilar,91,Pass,2026-09-04,
TRN-2025-0903,E1156,Lucía Camacho,Production,Line 3,PPE Requirements,Annual Refresher,Safety,2025-09-07,2025-09-07,Completed,M. Sánchez,93,Pass,2026-09-07,
TRN-2025-0904,E1203,Mariana Tapia,Production,Line 3,Housekeeping Standards,Initial,Safety,2025-09-05,2025-09-05,Completed,M. Sánchez,94,Pass,2027-09-05,New hire orientation
TRN-2025-0905,E1089,Alejandro Hernández,Production,Line 1,Hearing Conservation,Annual Refresher,Safety,2025-09-11,2025-09-11,Completed,M. Sánchez,103,Pass,2026-09-11,Audiogram completed same day
TRN-2025-0906,E1034,Cristina Reyes,Logistics,Receiving/Shipping,Forklift Operator,Recertification,Safety,2025-09-07,2025-09-07,Completed,L. Ramírez,93,Pass,2028-09-07,3-year certification
TRN-2025-0907,E1145,Beatriz Castillo,Production,Line 2,Robot Cell Entry,Annual Refresher,Safety,2025-09-12,2025-09-12,Completed,C. Aguilar,90,Pass,2026-09-12,
TRN-2025-0908,E1067,Fernando Solís,Maintenance,Line 1,Electrical Safety Qualified,Annual Refresher,Safety,2025-09-14,2025-09-14,Completed,C. Aguilar,93,Pass,2026-09-14,Arc flash awareness included
TRN-2025-0909,E1178,Carlos Vargas,Production,Line 2,Machine Guarding Awareness,Initial,Safety,2025-09-15,2025-09-15,Completed,M. Sánchez,89,Pass,2026-09-15,Interlock bypass procedure reviewed
TRN-2025-0910,E1023,Marcela Olvera,Maintenance,Line 3,Jam Clearing Authorized,Annual Refresher,Safety,2025-09-13,2025-09-13,Completed,C. Aguilar,94,Pass,2026-09-13,
TRN-2025-0911,E1134,Lucía Camacho,Production,Line 1,Press Safety,Annual Refresher,Safety,2025-09-17,2025-09-17,Completed,M. Sánchez,89,Pass,2026-09-17,Energy isolation emphasis
TRN-2025-0912,E1098,Marcela Olvera,Production,Line 3,Stretch Wrap Machine Operation,Initial,Equipment,2025-09-16,2025-09-16,Completed,Line Supervisor,100,Pass,2026-09-16,
TRN-2025-0913,E1056,Jorge Espinoza,Quality,Line 2,Measurement Systems,Annual Refresher,Quality,2025-09-19,2025-09-19,Completed,Quality Mgr,94,Pass,2026-09-19,
TRN-2025-0914,E1112,Mónica Avalos,Maintenance,Maintenance Crib,Fall Protection,Initial,Safety,2025-09-20,2025-09-20,Completed,C. Aguilar,89,Pass,2026-09-20,Harness inspection included
TRN-2025-0915,E1189,Tomás Negrete,Production,Line 2,Machine Guarding Awareness,Annual Refresher,Safety,2025-09-24,2025-09-24,Completed,M. Sánchez,87,Pass,2026-09-24,Guard removal procedure reviewed
TRN-2025-0916,E1045,Mario Jiménez,Logistics,Receiving/Shipping,Forklift Operator,Recertification,Safety,2025-09-22,2025-09-22,Completed,L. Ramírez,92,Pass,2028-09-22,3-year certification
